Order ID,Date,Status,Category,Qty,Amount,ship-state,ship-city
402-1465437-0579556,2022-04-30,Shipped - Delivered to Buyer,kurta,1,517.0,ODISHA,JEYPUR
406-1559872-9067544,2022-04-25,Shipped,Western Dress,1,744.0,TAMIL NADU,CHENNAI
408-6627871-9037125,2022-05-15,Shipped,kurta,1,349.0,KERALA,SHORANUR
406-3176109-1107566,2022-04-21,Shipped,Set,1,725.0,MAHARASHTRA,MUMBAI
405-6661512-5565139,2022-04-08,Shipped,kurta,1,487.0,ODISHA,HIRAKUD
406-6259060-5568333,2022-04-21,Shipped,Set,1,1065.0,MAHARASHTRA,Mumbai
408-9975004-9769960,2022-05-27,Shipped,Western Dress,1,665.0,KARNATAKA,BENGALURU
403-8591110-9477124,2022-06-06,Shipped,kurta,1,435.0,KARNATAKA,BENGALURU
402-6630432-1486758,2022-04-12,Shipped,Set,1,1186.0,TELANGANA,HYDERABAD
408-5330173-7201932,2022-06-26,Shipped,Set,1,0.0,RAJASTHAN,JAIPUR
405-3783889-1040324,2022-06-10,Shipped,Ethnic Dress,1,1377.0,ASSAM,GUWAHATI
171-1806311-0009155,2022-06-01,Shipped,Set,1,899.0,KARNATAKA,BENGALURU
404-1387836-8777131,2022-06-10,Shipped,kurta,1,436.0,PUNJAB,LUDHIANA
404-1356709-8144312,2022-05-31,Shipped,Top,1,545.0,TAMIL NADU,CHENNAI
408-3860273-4769922,2022-06-14,Shipped,Top,1,625.0,MAHARASHTRA,PIMPRI CHINCHWAD
171-9171137-2572369,2022-05-08,Cancelled,Top,0,0.0,UTTAR PRADESH,LUCKNOW
407-1333259-0463549,2022-04-25,Cancelled,Set,0,568.57,UTTAR PRADESH,SULTANPUR
402-5629314-2768344,2022-06-17,Shipped,Set,1,521.0,ASSAM,GUWAHATI
403-8891683-4621951,2022-05-12,Shipped,Set,1,545.0,WEST BENGAL,Kolkata
403-7610994-8282766,2022-04-08,Shipped,Top,1,329.0,MAHARASHTRA,PUNE
171-6010620-8284319,2022-05-08,Shipped - Delivered to Buyer,Set,1,1442.0,TAMIL NADU,GUDALUR THE NILGIRIS DISTRICT
403-4728782-5825127,2022-06-11,Shipped,kurta,1,435.0,TAMIL NADU,THIRUVARUR
405-7531559-8317135,2022-04-08,Shipped - Delivered to Buyer,kurta,1,487.0,KERALA,KOLLAM
408-1481880-6219535,2022-06-19,Shipped,Set,1,664.0,UTTAR PRADESH,NOIDA
407-9400554-3369120,2022-05-01,Shipped,kurta,1,376.0,TELANGANA,HYDERABAD
406-6362811-2344343,2022-05-21,Shipped,Set,1,641.0,RAJASTHAN,ANTAH
402-2693496-5543549,2022-04-13,Shipped - Delivered to Buyer,kurta,1,939.0,ODISHA,RAYAGADA RAYAGADA DISTRICT
405-6748000-8455508,2022-05-10,Shipped - Delivered to Buyer,Set,1,1523.0,DELHI,NEW DELHI
405-7099760-7306702,2022-04-14,Shipped,Top,1,599.0,KARNATAKA,TUMKUR
402-7959174-0857165,2022-05-20,Cancelled,Top,0,0.0,TELANGANA,HYDERABAD
406-8935926-0017917,2022-06-05,Shipped,Top,1,483.0,MAHARASHTRA,MUMBAI
171-8590680-7522726,2022-05-05,Shipped,kurta,1,817.0,PUNJAB,Dhakholi
171-8523305-6037964,2022-04-25,Shipped - Delivered to Buyer,Set,1,654.0,MAHARASHTRA,NASHIK
403-8686616-7756307,2022-04-27,Shipped,kurta,1,357.0,MAHARASHTRA,PIMPRI CHINCHWAD
171-8430718-3762700,2022-05-07,Shipped - Delivered to Buyer,Blouse,1,377.0,TAMIL NADU,"TIRUPATHUR , tirupattur district"
171-4151374-1149160,2022-06-26,Shipped,Set,1,1122.0,HIMACHAL PRADESH,HAMIRPUR
405-0781572-1017160,2022-05-20,Shipped - Delivered to Buyer,kurta,1,301.0,PUNJAB,SANAUR
403-4754407-2300354,2022-06-25,Cancelled,kurta,0,0.0,ANDHRA PRADESH,NARASAPUR
403-7495046-5248331,2022-06-06,Shipped,Set,1,650.0,NAGALAND,DIMAPUR
403-3827671-4525144,2022-05-31,Shipped,Western Dress,1,771.0,MAHARASHTRA,KALYAN west
171-1757200-7988351,2022-04-10,Shipped,Western Dress,1,744.0,MAHARASHTRA,MUMBAI
402-0844996-5254768,2022-04-20,Cancelled,kurta,0,690.48,TAMIL NADU,DHARMAPURI
402-8092116-0029121,2022-05-22,Shipped,kurta,1,471.0,KARNATAKA,MANGALURU
171-4688427-7113930,2022-06-16,Shipped,kurta,1,292.0,TAMIL NADU,CHENGALPATTU
402-9911652-3219504,2022-05-16,Cancelled,Western Dress,1,885.0,UTTAR PRADESH,VARANASI
403-7482842-3985157,2022-04-23,Shipped - Delivered to Buyer,Set,1,692.0,JAMMU & KASHMIR,UDHAMPUR
404-9031163-7119529,2022-04-13,Shipped,Set,1,1126.0,DELHI,NEW DELHI
408-5752198-3589111,2022-04-26,Shipped,Bottom,1,345.0,MAHARASHTRA,PIMPRI CHINCHWAD
404-1348265-2881136,2022-06-14,Shipped,kurta,1,709.0,DELHI,New Delhi
406-6320524-9610732,2022-06-09,Shipped,Set,1,635.0,SIKKIM,GANGTOK
404-5306991-8298757,2022-04-16,Cancelled,kurta,1,399.0,ASSAM,GUWAHATI
402-1064069-7876302,2022-04-06,Shipped,Set,1,824.0,RAJASTHAN,BANSWARA
406-6426803-0369168,2022-05-02,Shipped,Top,1,574.0,ANDHRA PRADESH,ANANTAPUR
408-0553959-1305159,2022-05-22,Shipped - Delivered to Buyer,kurta,1,635.0,JHARKHAND,CHAIBASA
